module_code,academic_year,module_title,credits,num_students_anticipated,scheduled_hours,independent_hours,placement_hours,coursework_pct,written_exam_pct,practical_exam_pct,n_summative_items,nqf_level,distance_learning
PHYM005,2023/4,Independent Study,15.0,1.0,,150.0,,100.0,0.0,,1.0,7.0,No
PHYM006,2023/4,Relativity and Cosmology,15.0,32.0,22.0,128.0,,0.0,100.0,,1.0,7.0,No
PHYM008,2023/4,Physical Methods in Biology and Medicine,15.0,34.0,22.0,128.0,,0.0,100.0,,1.0,7.0,No
PHYM009,2023/4,Project and Dissertation,45.0,61.0,302.0,148.0,,63.0,0.0,37.0,3.0,7.0,No
PHYM010,2023/4,Project and Dissertation,60.0,15.0,442.0,158.0,,41.0,0.0,59.0,5.0,7.0,No
PHYM012,2023/4,Solar and Extra-Solar Planets and Their Atmospheres,15.0,47.0,22.0,128.0,,0.0,100.0,,1.0,7.0,No
PHYM013,2023/4,Quantum Many-Body Theory,15.0,21.0,22.0,128.0,,0.0,100.0,,1.0,7.0,No
PHYM015,2023/4,Quantum Optics and Photonics,15.0,33.0,22.0,128.0,0.0,0.0,100.0,,1.0,7.0,No
PHYM502,2023/4,Frontiers in Physics Research,15.0,10.0,6.0,144.0,0.0,100.0,0.0,0.0,2.0,7.0,No
PHYM503,2023/4,Research Project,90.0,10.0,20.0,880.0,0.0,85.0,0.0,15.0,3.0,7.0,No
SOC3146,2023/4,,,,,,,,,,,,
SOCM022,2023/4,,,,,,,,,,,,
BEM2037,2024/5,,,,,,,,,,,,
BEM3064,2024/5,,,,,,,,,,,,
BEMM166,2024/5,,,,,,,,,,,,
ENG1002,2024/5,Engineering Mathematics and Scientific Computing,30,200.0,120,180.0,0.0,30,70,0.0,2.0,4.0,No
ENG1005,2024/5,Multi-Disciplinary Group Challenge Project,30,240.0,70,230.0,,100,0,0.0,6.0,4.0,No
ENG1006,2024/5,Entrepreneurship 1,15,225.0,26,124.0,0.0,100,0,0.0,7.0,4.0,No
ENG1007,2024/5,Fundamentals of Mechanics,15,240.0,49,101.0,0.0,40,60,0.0,4.0,4.0,No
ENG1008,2024/5,Fundamentals of Materials,15,240.0,44,106.0,0.0,40,60,0.0,3.0,4.0,No
ENG1009,2024/5,Fundamentals of Electronics,15,,76,74.0,0.0,40,60,0.0,3.0,4.0,No
ENG1200DA,2024/5,Core Engineering,30,25.0,93,34.0,173.0,30,70,0.0,5.0,4.0,No
ENG1201DA,2024/5,Mathematics for Engineers,15,25.0,64,18.0,68.0,40,60,0.0,4.0,4.0,No
ENG1202DA,2024/5,Basic Mechanics,15,25.0,50,40.0,60.0,50,50,0.0,3.0,4.0,No
ENG1203DA,2024/5,Professional Studies and Skills Development A,15,25.0,50,50.0,50.0,100,0,0.0,2.0,4.0,No
ENG1204DA,2024/5,Materials,15,25.0,30,50.0,70.0,40,60,0.0,3.0,4.0,No
ENG1205DA,2024/5,Advanced Mathematics for Engineers,15,25.0,64,48.0,38.0,60,40,,4.0,4.0,No
