dept_code,academic_year,faculty,n_modules,mean_coursework_pct,mean_written_exam_pct,mean_practical_pct,mean_class_size,mean_scheduled_hours,mean_contact_ratio,mean_assess_diversity,mean_n_summative_items
DRA,2021/2,HASS,29.0,87.93103448275862,0.0,12.068965517241379,43.58620689655172,46.41379310344828,0.15472071656479452,1.1379310344827587,2.2758620689655173
DRA,2022/3,HASS,29.0,84.13793103448276,0.0,15.862068965517242,43.89655172413793,46.41379310344828,0.1547207165647945,1.206896551724138,2.310344827586207
DRA,2023/4,HASS,32.0,86.875,0.0,13.125,39.78125,52.0,0.17334064938684507,1.28125,2.5
DRA,2024/5,HASS,30.0,86.33333333333333,0.0,13.666666666666666,37.56666666666667,51.766666666666666,0.17256335934596803,1.2666666666666666,2.1333333333333333
EAF,2020/1,HASS,18.0,83.88888888888889,5.0,11.11111111111111,33.888888888888886,67.33333333333333,0.2223368016846278,1.5555555555555556,2.5555555555555554
EAF,2021/2,HASS,18.0,86.11111111111111,5.0,8.88888888888889,38.888888888888886,67.33333333333333,0.2223368016846278,1.5,2.611111111111111
EAF,2022/3,HASS,18.0,92.22222222222223,5.0,2.7777777777777777,47.333333333333336,70.77777777777777,0.2343996805016295,1.3888888888888888,2.5555555555555554
EAF,2023/4,HASS,19.0,90.27777777777777,2.5,7.222222222222222,49.0,66.02777777777777,0.22358231140839835,1.4444444444444444,2.611111111111111
EAF,2024/5,HASS,20.0,95.12820512820512,0.0,4.871794871794871,46.64102564102564,65.05128205128206,0.21693508275448073,1.1538461538461537,2.0256410256410255
EAS,2019/0,HASS,44.0,77.1264367816092,18.160919540229884,4.712643678160919,71.03529411764706,34.40229885057471,0.1203940483724753,1.7126436781609196,2.4597701149425286
EAS,2020/1,HASS,50.0,81.53061224489795,13.877551020408163,4.591836734693878,67.12903225806451,34.51020408163265,0.12116614498372805,1.663265306122449,2.673469387755102
EAS,2021/2,HASS,51.0,82.2,13.7,4.1,67.12903225806451,34.48,0.1209428220840535,1.63,2.54
EAS,2022/3,HASS,58.0,83.94736842105263,12.017543859649123,4.035087719298246,61.822429906542055,34.29824561403509,0.13370169680825925,1.587719298245614,2.6140350877192984
EAS,2023/4,HASS,60.0,82.92035398230088,12.035398230088495,5.04424778761062,63.08490566037736,37.06194690265487,0.14491982374911017,1.6460176991150441,2.8584070796460175
EAS,2024/5,HASS,62.0,86.25,9.083333333333334,4.666666666666667,61.91379310344828,34.541666666666664,0.1359131756613519,1.5583333333333333,2.691666666666667
ECM,2019/0,ESE,47.0,57.225806451612904,38.145161290322584,4.629032258064516,75.8225806451613,40.62903225806452,0.36059279060587174,1.7903225806451613,3.2542372881355934
ECM,2020/1,ESE,47.0,57.70967741935484,38.145161290322584,4.145161290322581,73.20967741935483,37.854838709677416,0.3418058439209353,1.7741935483870968,3.3559322033898304
ECM,2021/2,ESE,47.0,58.67741935483871,37.17741935483871,4.145161290322581,76.30645161290323,36.70967741935484,0.33417143531878474,1.7580645161290323,3.440677966101695
ECM,2022/3,ESE,28.0,52.627906976744185,41.51162790697674,5.8604651162790695,74.88372093023256,35.81395348837209,0.36780981330746043,1.7906976744186047,3.45
ECM,2023/4,ESE,11.0,50.0,40.45454545454545,9.545454545454545,27.09090909090909,20.40909090909091,0.4758774673338893,1.8181818181818181,3.0454545454545454
ECM,2024/5,ESE,10.0,50.476190476190474,41.904761904761905,7.619047619047619,30.714285714285715,18.571428571428573,0.1186111111111111,1.7142857142857142,2.8095238095238093
EDU,2019/0,HASS,4.0,100.0,0.0,0.0,20.0,24.0,0.10666666666666666,1.0,1.0
EDU,2020/1,HASS,4.0,100.0,0.0,0.0,20.0,24.0,0.10666666666666666,1.0,2.0
EDU,2024/5,HASS,4.0,100.0,0.0,0.0,20.0,24.0,0.10666666666666666,1.0,2.0
EMP,2019/0,Unknown,2.0,92.5,0.0,7.5,8.5,17.25,0.04833333333333333,1.75,4.25
EMP,2020/1,Unknown,2.0,92.5,0.0,7.5,8.5,17.25,0.04833333333333333,1.75,4.25
EMP,2021/2,Unknown,2.0,92.5,0.0,7.5,8.5,17.25,0.04833333333333333,1.75,4.25
EMP,2022/3,Unknown,2.0,92.5,0.0,7.5,8.5,17.25,0.04833333333333333,1.75,4.25
EMP,2023/4,Unknown,2.0,92.5,0.0,7.5,8.5,17.25,0.04833333333333333,1.75,4.25
EMP,2024/5,Unknown,1.0,100.0,0.0,0.0,31.0,9.0,0.05999999999999999,1.0,2.0
ENG,2020/1,ESE,30.0,59.86486486486486,31.08108108108108,9.054054054054054,163.33333333333334,55.054054054054056,0.25261261261261264,1.7837837837837838,3.4324324324324325
ENG,2021/2,ESE,38.0,60.56818181818182,29.545454545454547,9.886363636363637,111.66666666666667,45.59090909090909,0.2425757575757576,1.75,3.25
ENG,2022/3,ESE,49.0,63.660714285714285,29.464285714285715,6.875,94.0,44.375,0.23333333333333334,1.6428571428571428,3.125
ENG,2023/4,ESE,71.0,66.60493827160494,29.444444444444443,3.950617283950617,64.08771929824562,45.45679012345679,0.25111111111111106,1.5802469135802468,3.0987654320987654
ENG,2024/5,ESE,71.0,65.0,31.049382716049383,3.950617283950617,70.28333333333333,46.65432098765432,0.2562269022835471,1.5925925925925926,3.111111111111111
GEO,2019/0,ESE,37.0,78.75,16.71875,4.53125,63.046875,15.8125,0.0951041666666667,1.34375,1.9375
GEO,2020/1,ESE,42.0,86.81159420289855,10.579710144927537,2.608695652173913,62.27536231884058,16.942028985507246,0.10335113145181796,1.2028985507246377,1.9420289855072463
GEO,2021/2,ESE,50.0,87.0886075949367,10.379746835443038,2.5316455696202533,73.46835443037975,19.39240506329114,0.12090162114146123,1.1898734177215189,1.8734177215189873
GEO,2022/3,ESE,51.0,82.75,13.75,3.5,74.1875,19.5875,0.11880701754385965,1.2,1.85
GEO,2023/4,ESE,56.0,84.06976744186046,12.674418604651162,3.255813953488372,76.17647058823529,20.41860465116279,0.11694374797942793,1.1744186046511629,1.7674418604651163
GEO,2024/5,ESE,51.0,85.47945205479452,13.972602739726028,0.547945205479452,82.34722222222223,21.10958904109589,0.12374429223744289,1.0684931506849316,1.5616438356164384
HIH,2019/0,HASS,51.0,60.689655172413794,27.35632183908046,11.954022988505747,35.4,38.57471264367816,0.14122605363984678,2.057471264367816,2.32183908045977
HIH,2020/1,HASS,44.0,71.16883116883118,23.376623376623378,5.454545454545454,38.375,38.72727272727273,0.13956709956709962,1.8311688311688312,2.220779220779221
HIH,2021/2,HASS,54.0,81.55555555555556,8.444444444444445,10.0,38.13483146067416,37.77777777777778,0.14059259259259263,1.6888888888888889,2.6222222222222222
HIH,2022/3,HASS,79.0,83.15789473684211,5.714285714285714,11.12781954887218,33.78030303030303,38.46616541353384,0.14200501253132833,1.6466165413533835,2.5714285714285716
HIH,2023/4,HASS,73.0,81.30081300813008,0.4878048780487805,18.211382113821138,48.101694915254235,37.5609756097561,0.13815718157181572,1.6016260162601625,2.268292682926829
HIH,2024/5,HASS,75.0,78.38340142593928,1.0526315789473684,20.563966995113354,41.35625,60.870588235294115,0.13603921568627453,1.7251461988304093,2.1695906432748537
LAW,2019/0,HASS,42.0,60.50561797752809,31.96629213483146,7.52808988764045,97.94252873563218,44.3013698630137,0.16125340933468174,1.4269662921348314,1.9775280898876404
LAW,2020/1,HASS,41.0,65.40229885057471,28.091954022988507,6.505747126436781,99.19767441860465,44.098591549295776,0.1611349528940984,1.4482758620689655,2.057471264367816
LAW,2021/2,HASS,47.0,67.44680851063829,25.148936170212767,7.404255319148936,111.40425531914893,43.02564102564103,0.16175988068605518,1.425531914893617,2.0
LAW,2022/3,HASS,48.0,63.333333333333336,32.689655172413794,3.9770114942528734,132.183908045977,38.333333333333336,0.14742935020185655,1.4367816091954022,1.9540229885057472
LAW,2023/4,HASS,51.0,61.84782608695652,34.391304347826086,3.760869565217391,134.94565217391303,38.95652173913044,0.14934442174885712,1.4565217391304348,1.934782608695652
